Code,Name,Address,City,Service Zone Code
H00129,TRUNG TÂM Y TẾ HUYỆN THUẬN THÀNH,"Phường Gia Đông, thị xã Thuận Thành, tỉnh Bắc Ninh",BẮC NINH,MD NORTH
H00146,BỆNH VIỆN ĐA KHOA HUYỆN THẠCH THẤT,"Đường 420, xã Kim Quan, huyện Thạch Thất, thành phố Hà Nội",HÀ NỘI,MD NORTH
H00249,BỆNH VIỆN PHỔI TỈNH BÌNH THUẬN,"03B Nguyễn Hội, phường Phú Trinh, thành phố Phan Thiết",BÌNH THUẬN,MD SOUTH
H00261,TRUNG TÂM Y TẾ HUYỆN HÀM THUẬN NAM,"Đường Lê Duẩn, thị trấn Thuận Nam, huyện Hàm Thuận Nam",BÌNH THUẬN,MD SOUTH
H00267,TRUNG TÂM Y TẾ HUYỆN NGA SƠN,"Tiểu khu 3, thị trấn Nga Sơn, huyện Nga Sơn, tỉnh Thanh Hoá",THANH HÓA,MD NORTH
H00279,TRUNG TÂM Y TẾ HUYỆN NGỌC HIỂN,"Khóm 7, thị trấn Rạch Gốc, huyện Ngọc Hiển, tỉnh Cà Mau",CÀ MAU,MD MEKONG
H00281,BỆNH VIỆN ĐA KHOA ĐẦM DƠI,"Khóm 5, thị trấn Đầm Dơi, huyện Đầm Dơi, tỉnh Cà Mau",CÀ MAU,MD MEKONG
H00283,BỆNH VIỆN ĐA KHOA TRẦN VĂN THỜI,"Khóm 7, thị trấn Trần Văn Thời, huyện Trần Văn Thời, tỉnh Cà Mau",CÀ MAU,MD MEKONG
H00312,BỆNH VIỆN MẮT - RĂNG HÀM MẶT CẦN THƠ,"39 Nguyễn Trãi, phường An Hội, quận Ninh Kiều, thành phố Cần Thơ",CẦN THƠ,MD MEKONG
H00316,BỆNH VIỆN TIM MẠCH THÀNH PHỐ CẦN THƠ,"204 Trần Hưng Đạo, phường An Nghiệp, quận Ninh Kiều, thành phố Cần Thơ",CẦN THƠ,MD MEKONG
H00332,BỆNH VIỆN ĐA KHOA HUYỆN THIỆU HOÁ,"TK. Ba Chè, thị trấn Thiệu Hoá, huyện Thiệu Hóa, tỉnh Thanh Hóa",THANH HÓA,MD NORTH
H00336,TRUNG TÂM Y TẾ HUYỆN TRIỆU SƠN,"Phố Tân Minh, thị trấn Triệu Sơn, huyện Triệu Sơn, tỉnh Thanh Hoá",THANH HÓA,MD NORTH
H00381,BỆNH VIỆN ĐA KHOA QUỐC TẾ VINMEC ĐÀ NẴNG,"Đường 30/ 4, khu dân cư số 4 Nguyễn Tri Phương, phường Hòa Cường Bắc, quận Hải Châu",ĐÀ NẴNG,MD CENTRAL
H00489,BỆNH VIỆN ĐA KHOA ĐỒNG NAI,"02 Đồng Khởi, phường Tam Hòa, thành phố Biên Hòa",ĐỒNG NAI,MD SOUTH
H00499,BỆNH VIỆN PHỤ SẢN ÂU CƠ BIÊN HÒA,"47/19A Điểu Xiển, khu phố 5B, phường Tân Biên, thành phố Biên Hòa, tỉnh Đồng Nai ",ĐỒNG NAI,MD SOUTH
H00500,BỆNH VIỆN QUÂN Y 7B,"1137 Nguyễn Ái Quốc, phường Tân Tiến, thành phố Biên Hòa, tỉnh Đồng Nai",ĐỒNG NAI,MD SOUTH
H00515,TRUNG TÂM Y TẾ HUYỆN TAM NÔNG,"01 đường Đốc Binh Kiều, khóm 4, thị trấn Tràm Chim, huyện Tam Nông, tỉnh Đồng Tháp",ĐỒNG THÁP,MD MEKONG
H00523,TRUNG TÂM Y TẾ HUYỆN THANH BÌNH,"Khóm Tân Đông A, thị trấn Thanh Bình, huyện Thanh Bình, tỉnh Đồng Tháp",ĐỒNG THÁP,MD MEKONG
H00588,TRUNG TÂM Y TẾ HUYỆN XÍN MẦN,"Tổ 4, thị trấn Cốc Pài, huyện Xín Mần, tỉnh Hà Giang",HÀ GIANG,MD NORTH
H00594,BỆNH VIỆN SẢN NHI TỈNH HÀ NAM,"Phường Lam Hạ, thành phố Phủ Lý, tỉnh Hà Nam",HÀ NAM,MD NORTH
H00612,TRUNG TÂM Y TẾ HUYỆN THANH LIÊM,"Tổ dân phố Non, thị trấn Tân Thanh, huyện Thanh Liêm, tỉnh Hà Nam",HÀ NAM,MD NORTH
H00628,TRUNG TÂM BÁC SĨ GIA ĐÌNH HÀ NỘI,"75 Hồ Mễ Trì, phường Trung Văn, quận Nam Từ Liêm, thành phố Hà Nội",HÀ NỘI,MD NORTH
H00631,BỆNH VIỆN TUỆ TĨNH,"2 Trần Phú, phường Mộ Lao, quận Hà Đông, thành phố Hà Nội",HÀ NỘI,MD NORTH
H00664,BỆNH VIỆN ĐA KHOA SƠN TÂY,"304A Lê Lợi, phường Lê Lợi, thị xã Sơn Tây, thành phố Hà Nội",HÀ NỘI,MD NORTH
H00765,BỆNH VIỆN ĐA KHOA HUYỆN CẨM XUYÊN,"Tổ 10, thị trấn Cẩm Xuyên, huyện Cẩm Xuyên, tỉnh Hà Tĩnh",HÀ TĨNH,MD NORTH
H00766,BỆNH VIỆN ĐA KHOA HUYỆN ĐỨC THỌ,"Tổ dân phố Hùng Dũng, thị trấn Đức Thọ, huyện Đức Thọ, tỉnh Hà Tĩnh",HÀ TĨNH,MD NORTH
H00771,TRUNG TÂM Y TẾ HUYỆN KỲ ANH,"Thôn Tân Giang, xã Kỳ Giang, huyện Kỳ Anh, tỉnh Hà Tĩnh",HÀ TĨNH,MD NORTH
H00772,TRUNG TÂM Y TẾ HUYỆN BÌNH CHÁNH,"100 Tân Túc, thị trấnTân Túc, huyện Bình Chánh, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H00775,BỆNH VIỆN ĐA KHOA HUYỆN LỘC HÀ,"Đường 22-12, tổ dân phố Khánh Yên, thị trấn Lộc Hà, huyện Lộc Hà, tỉnh Hà Tĩnh",HÀ TĨNH,MD NORTH
H00780,TRUNG TÂM Y TẾ THỊ XÃ HỒNG LĨNH,"Tổ Đồng Thuận, phường Đức Thuận, thị xã Hồng Lĩnh, tỉnh Hà Tĩnh",HÀ TĨNH,MD NORTH
H00792,TRUNG TÂM Y TẾ HUYỆN NGHI XUÂN,"Khối 4, thị trấn Nghi Xuân, huyện Nghi Xuân, tỉnh Hà Tĩnh",HÀ TĨNH,MD NORTH
H00795,BỆNH VIỆN QUÂN Y 7,"12 Tuệ Tĩnh, phường Nguyễn Trãi, thành phố Hải Dương, tỉnh Hải Dương",HẢI DƯƠNG,MD NORTH
H00799,TRUNG TÂM Y TẾ THỊ XÃ KINH MÔN,"294 Trần Hưng Đạo, phường An Lưu, thị xã Kinh Môn, tỉnh Hải Dương",HẢI DƯƠNG,MD NORTH
H00873,BỆNH VIỆN ĐA KHOA HỒNG ĐỨC,"136 Hoàng Quôc Việt, quận Kiến An, thành phố Hải Phòng",HẢI PHÒNG,MD NORTH
H00881,VIỆN Y HỌC BIỂN VIỆT NAM,"21 Võ Nguyên Giáp, phường Kênh Dương, quận Lê Chân, thành phố Hải Phòng",HẢI PHÒNG,MD NORTH
H00885,BỆNH VIỆN ĐẠI HỌC VÕ TRƯỜNG TOẢN,"Quốc lộ 1A, xã Tân Phú Thạnh, huyện Châu Thành A, tỉnh Hậu Giang",HẬU GIANG,MD MEKONG
H00904,TRUNG TÂM Y TẾ HUYỆN LƯƠNG SƠN,"57 Tôn Thất Tùng, tiểu khu 12, thị trấn Lương Sơn, huyện Lương Sơn, tỉnh Hòa Bình",HÒA BÌNH,MD NORTH
H00915,TRUNG TÂM Y TẾ HUYỆN YÊN THUỶ,"Khu 8, thị trấn Hàng Trạm, huyện Yên Thuỷ, tỉnh Hòa Bình",HÒA BÌNH,MD NORTH
H00918,TRUNG TÂM Y TẾ HUYỆN TÂN LẠC,"Khu Mường Định, thị trấn Mãn Đức, huyện Tân Lạc, tỉnh Hòa Bình",HÒA BÌNH,MD NORTH
H00919,BỆNH VIỆN ĐA KHOA HƯNG HÀ,"Đường Sơn Nam, phường Lam Sơn, thành phố Hưng Yên, tỉnh Hưng Yên",HƯNG YÊN,MD NORTH
H00935,PHÒNG KHÁM ĐA KHOA QUỐC TẾ HÀNG XANH,"393-395-397-399 Điện Biên Phủ, phường 25, quận Bình Thạnh",HỒ CHÍ MINH,MD SOUTH
H00973,NHA KHOA DR HÙNG VÀ CỘNG SỰ,"244A Cống Quỳnh, phường Phạm Ngũ Lão, quận 1, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H00993,TRUNG TÂM Y TẾ HUYỆN AN BIÊN,"Khu phố 3, thị trấn Thứ 3, huyện An Biên, tỉnh Kiên Giang",KIÊN GIANG,MD MEKONG
H00994,TRUNG TÂM Y TẾ HUYỆN AN MINH,"Khu phố 2, thị trấn Thứ 11, huyện An Minh, tỉnh Kiên Giang",KIÊN GIANG,MD MEKONG
H00996,TRUNG TÂM Y TẾ HUYỆN GÒ QUAO,"Khu phố Phước Hưng 1, thị trấn Gò quao, huyện Gò Quao, tỉnh Kiên Giang",KIÊN GIANG,MD MEKONG
H01023,BỆNH VIỆN ĐA KHOA TỈNH LAI CHÂU,"Tổ 27, phường Đông Phong, thành Phố Lai Châu, tỉnh Lai Châu",LAI CHÂU,MD NORTH
H01039,TRUNG TÂM Y TẾ HUYỆN PHONG THỔ," Tổ dân phố Pa So, thị trấn Phong Thổ, huyện Phong Thổ, tỉnh Lai Châu",LAI CHÂU,MD NORTH
H01041,TRUNG TÂM Y TẾ HUYỆN MƯỜNG TÈ,"Khu 9, thị trấn Mường Tè, huyện Mường Tè, tỉnh Lai Châu",LAI CHÂU,MD NORTH
H01044,TRUNG TÂM Y TẾ HUYỆN TÂN UYÊN,"Tổ dân phố 2, thị trấn Tân Uyên, huyện Tân Uyên, tỉnh Lai Châu",LAI CHÂU,MD NORTH
H01047,BỆNH VIỆN ĐA KHOA HOÀN MỸ ĐÀ LẠT,"Đồi Long Thọ, đường Mimoza, phường 10, thành phố Đà Lạt, tỉnh Lâm Đồng",LÂM ĐỒNG,MD SOUTH
H01087,TRUNG TÂM Y TẾ HUYỆN BẮC SƠN,"Khối phố Nguyễn Thị Minh Khai, thị trấn Bắc Sơn, huyện Bắc Sơn, tỉnh Lạng Sơn",LẠNG SƠN,MD NORTH
H01089,TRUNG TÂM Y TẾ HUYỆN CAO LỘC,"Thị trấn Cao Lộc, huyện Cao Lộc, tỉnh Lạng Sơn",LẠNG SƠN,MD NORTH
H01090,TRUNG TÂM Y TẾ HUYỆN CHI LĂNG,"Khu Hòa Bình I, thị trấn Đồng Mỏ, huyện Chi Lăng, tỉnh Lạng Sơn",LẠNG SƠN,MD NORTH
H01093,TRUNG TÂM Y TẾ HUYỆN LỘC BÌNH,"Khu Cầu Lấm, thị trấn Lộc Bình, huyện Lộc Bình, tỉnh Lạng Sơn",LẠNG SƠN,MD NORTH
H01163,BỆNH VIỆN NHI TỈNH NAM ĐỊNH," 16 Hà Huy Tập, phường Ngô Quyền, thành phố Nam Định, tỉnh Nam Định",NAM ĐỊNH,MD NORTH
H01164,BỆNH VIỆN PHỤ SẢN TỈNH NAM ĐỊNH,"168 Trần Đăng Ninh, thành phố Nam Định, tỉnh Nam Định",NAM ĐỊNH,MD NORTH
H01165,TRUNG TÂM Y TẾ HUYỆN GIAO THUỶ,"Thị trấn Ngô Đồng, huyện Giao Thủy, tỉnh Nam Định",NAM ĐỊNH,MD NORTH
H01167,BỆNH VIỆN ĐA KHOA HUYỆN HẢI HẬU,"Số 236, Khu 3, thị trấn Yên Định, huyện Hải Hậu, tỉnh Nam Định",NAM ĐỊNH,MD NORTH
H01176,TRUNG TÂM Y TẾ HUYỆN VỤ BẢN,"Xã Cộng Hòa, huyện Vụ Bản, tỉnh Nam Định",NAM ĐỊNH,MD NORTH
H01177,TRUNG TÂM Y TẾ HUYỆN XUÂN TRƯỜNG,"Thị trấn Xuân Trường, huyện Xuân Trường, tỉnh Nam Định",NAM ĐỊNH,MD NORTH
H01195,BỆNH VIỆN ĐA KHOA PHỦ DIỄN,"Xóm 13, xã Quỳnh Thạch, huyện Quỳnh Lưu, tỉnh Nghệ An",NGHỆ AN,MD NORTH
H01197,BỆNH VIỆN ĐA KHOA HUYỆN DIỄN CHÂU,"Xóm Lương Đống, xã Nghi Vạn, huyện Nghi Lộc, tỉnh Nghệ An",NGHỆ AN,MD NORTH
H01212,BỆNH VIỆN HỮU NGHỊ ĐA KHOA TỈNH NGHỆ AN,"Km 403 AH1, xã Quỳnh Hồng, huyện Quỳnh Lưu, tỉnh Nghệ An",NGHỆ AN,MD NORTH
H01217,BỆNH VIỆN QUỐC TẾ VINH,"31 Lệ Ninh, phường Quán Bàu, thành phố Vinh, tỉnh Nghệ An",NGHỆ AN,MD NORTH
H01226,BỆNH VIỆN ĐA KHOA HUYỆN NGHI LỘC,"Xóm 3, xã Đà Sơn, huyện Đô Lương, tỉnh Nghệ An",NGHỆ AN,MD NORTH
H01239,TRUNG TÂM Y TẾ HUYỆN QUẾ PHONG,"Khối Hợp Tâm, thị trấn Quỳ Hợp, huyện Quỳ Hợp, tỉnh Nghệ An",NGHỆ AN,MD NORTH
H01243,TRUNG TÂM Y TẾ HUYỆN TƯƠNG DƯƠNG,"Xã Quỳnh Giang, huyện Quỳnh Lưu, tỉnh Nghệ An",NGHỆ AN,MD NORTH
H01255,BỆNH VIỆN SẢN NHI TỈNH NINH BÌNH,"Đường Phan Chu Trinh, phường Nam Thành, thành phố Ninh Bình, tỉnh Ninh Bình",NINH BÌNH,MD NORTH
H01258,TRUNG TÂM Y TẾ HUYỆN YÊN KHÁNH,"Phố 5, thị trấn Yên Ninh, huyện Yên Khánh, tỉnh Ninh Bình",NINH BÌNH,MD NORTH
H01261,TRUNG TÂM Y TẾ HUYỆN YÊN MÔ,"Phố Hưng Thượng, thị trấn Yên Thịnh, huyện Yên Mô, tỉnh Ninh Bình",NINH BÌNH,MD NORTH
H01299,BỆNH VIỆN ĐA KHOA TỈNH PHÚ THỌ ,"Nguyễn Tất Thành, phường Tân Dân, thành phố Việt Trì, tỉnh Phú Thọ",PHÚ THỌ,MD NORTH
H01303,BỆNH VIỆN PHỔI TỈNH PHÚ THỌ,"402 Thanh Bình, phường Thanh Vinh, thị xã tỉnh Phú Thọ, tỉnh Phú Thọ",PHÚ THỌ,MD NORTH
H01308,TRUNG TÂM Y TẾ HUYỆN ĐOAN HÙNG,"TT. Đoan Hùng, huyện Đoan Hùng, tỉnh Phú Thọ",PHÚ THỌ,MD NORTH
H01309,TRUNG TÂM Y TẾ HUYỆN HẠ HOÀ,"Khu 10, thị trấn Hạ Hòa, huyện Hạ Hòa , tỉnh Phú Thọ.",PHÚ THỌ,MD NORTH
H01311,TRUNG TÂM Y TẾ HUYỆN LÂM THAO,"Thị trấn Lâm Thao, huyện Lâm Thao, tỉnh Phú Thọ",PHÚ THỌ,MD NORTH
H01315,TRUNG TÂM Y TẾ HUYỆN TÂN SƠN,"Khu 5B, Tân Phú, huyện Tân Sơn, tỉnh Phú Thọ",PHÚ THỌ,MD NORTH
H01319,TRUNG TÂM Y TẾ HUYỆN THANH BA,"Khu 11, thị trấn Thanh Ba, huyện Thanh Ba, tỉnh Phú Thọ",PHÚ THỌ,MD NORTH
H01320,TRUNG TÂM Y TẾ HUYỆN THANH SƠN,"Khu Tân Thịnh, thị trấn Thanh Sơn, huyện Thanh Sơn, tỉnh Phú Thọ",PHÚ THỌ,MD NORTH
H01322,TRUNG TÂM Y TẾ HUYỆN YÊN LẬP,"Thôn Trung Ngãi 5, thị trấn Yên Lập, huyện Yên Lập, tỉnh Phú Thọ",PHÚ THỌ,MD NORTH
H01350,BỆNH VIỆN ĐA KHOA HUYỆN BỐ TRẠCH,"Tiểu khu 9 thị trấn Hoàn Lão, huyện Bố Trạch, tỉnh Quảng Bình",QUẢNG BÌNH,MD CENTRAL
H01351,BỆNH VIỆN ĐA KHOA HUYỆN TUYÊN HÓA,"Tiểu khu Tam Đồng, thị trấn Đồng Lê, huyện Tuyên Hóa, tỉnh Quảng Bình",QUẢNG BÌNH,MD CENTRAL
H01353,BỆNH VIỆN ĐA KHOA HUYỆN MINH HÓA,"Tiểu khu 9, thị trấn Quy Đạt, huyện Minh Hóa, tỉnh Quảng Bình",QUẢNG BÌNH,MD CENTRAL
H01368,BỆNH VIỆN ĐA KHOA KHU VỰC QUẢNG NAM,"24 Lê Hữu Trác, phường Vĩnh Điện, thị xã Điện Bàn, tỉnh Quảng Nam",QUẢNG NAM,MD CENTRAL
H01376,BỆNH VIỆN ĐA KHOA TRUNG ƯƠNG QUẢNG NAM,"Thôn Nam Sơn, Xã Tam Hiệp, huyện Núi Thành, tỉnh Quảng Nam",QUẢNG NAM,MD CENTRAL
H01380,BỆNH VIỆN PHỤ SẢN NHI QUẢNG NAM,"46 Lý Thường Kiệt, phường Hòa Thuận, thành phố Tam Kỳ, tỉnh Quảng Nam",QUẢNG NAM,MD CENTRAL
H01397,TRUNG TÂM Y TẾ HUYỆN PHÚ NINH,"Thị trấn Phú Thịnh, huyện Phú Ninh, tỉnh Quảng Nam",QUẢNG NAM,MD CENTRAL
H01451,TRUNG TÂM Y TẾ HUYỆN BÌNH LIÊU,"thị trấn Bình Liêu, huyện Bình Liêu, tỉnh Quảng Ninh",QUẢNG NINH,MD NORTH
H01479,BỆNH VIỆN ĐA KHOA TỈNH QUẢNG TRỊ,"266, Hùng Vương, thành phố Đông Hà, tỉnh Quảng Trị",QUẢNG TRỊ,MD CENTRAL
H01484,TRUNG TÂM Y TẾ HUYỆN HẢI LĂNG," Hùng Vương, thị trấn Diên Sanh, huyện Hải Lăng, tỉnh Quảng Trị",QUẢNG TRỊ,MD CENTRAL
H01487,TRUNG TÂM Y TẾ HUYỆN VĨNH LINH," Phạm Văn Đồng, thị trấn Hồ Xá, huyện Vĩnh Linh, tỉnh Quảng Trị",QUẢNG TRỊ,MD CENTRAL
H01492,BỆNH VIỆN CHUYÊN KHOA SẢN NHI TỈNH SÓC TRĂNG," 645 Tôn Đức Thắng, khóm 3, phường 5, thành phố Sóc Trăng, tỉnh Sóc Trăng.",SÓC TRĂNG,MD MEKONG
H01518,BỆNH VIỆN ĐA KHOA CUỘC SỐNG,"phường Chiềng Cơi, thành phố Sơn La, tỉnh Sơn La",SƠN LA,MD NORTH
H01564,TRUNG TÂM Y TẾ HUYỆN GÒ DẦU," 205 Quốc lộ 22B, Khu phố Rạch Sơn, thị trấn Gò Dầu, huyện Gò Dầu, tỉnh Tây Ninh",TÂY NINH,MD SOUTH
H01598,BỆNH VIỆN MẮT TỈNH THÁI BÌNH ," 282,  Trần Thánh Tông, thành phố Thái Bình",THÁI BÌNH,MD NORTH
H01599,BỆNH VIỆN NHI TỈNH THÁI BÌNH ," 02,  Tôn Thất Tùng, phường Trần Lãm, thành phố Thái Bình..",THÁI BÌNH,MD NORTH
H01601,BỆNH VIỆN PHỤ SẢN TỈNH THÁI BÌNH ," 530A,  Lý Bôn, phường Quang Trung, thành phố Thái Bình, tỉnh Thái Bình",THÁI BÌNH,MD NORTH
H01604,BỆNH VIỆN ĐA KHOA HUYỆN KIẾN XƯƠNG,"Tổ dân phố Quang Trung, thị trấn Kiến Xương, huyện Kiến Xương, tỉnh Thái Bình",THÁI BÌNH,MD NORTH
H01607,BỆNH VIỆN ĐA KHOA HUYỆN THÁI THUỴ,"Khu 7, thị trấn Diêm Điền, huyện Thái Thụy, tỉnh Thái Bình",THÁI BÌNH,MD NORTH
H01608,BỆNH VIỆN ĐA KHOA HUYỆN VŨ THƯ,"Thị trấn Vũ Thư, huyện Vũ Thư, tỉnh Thái Bình",THÁI BÌNH,MD NORTH
H01622,BỆNH VIỆN ĐA KHOA HUYỆN PHÚ BÌNH,"Thị trấn Hương Sơn, huyện Phú Bình, tỉnh Thái Nguyên",THÁI NGUYÊN,MD NORTH
H01642,TRUNG TÂM Y TẾ HUYỆN ĐẠI TỪ,"Phố Sơn Tập 3, thị trấn Đại Từ, huyện Đại Từ, tỉnh Thái Nguyên",THÁI NGUYÊN,MD NORTH
H01643,TRUNG TÂM Y TẾ HUYỆN ĐỊNH HOÁ,"Tổ dân phố Trung Kiên, thị trấn Chợ Chu, huyện Định Hóa, tỉnh Thái Nguyên",THÁI NGUYÊN,MD NORTH
H01646,TRUNG TÂM Y TẾ HUYỆN PHÚ LƯƠNG,"Tổ dân phố Cầu Trắng, thị trấn Đu, huyện Phú Lương, tỉnh Thái Nguyên",THÁI NGUYÊN,MD NORTH
H01648,TRUNG TÂM Y TẾ HUYỆN VÕ NHAI,"Tổ dân phố Làng Lường, thị trấn Đình Cả, huyện Võ Nhai, tỉnh Thái Nguyên",THÁI NGUYÊN,MD NORTH
H01656,BỆNH VIỆN PHỤC HỒI CHỨC NĂNG THANH HOÁ,"36 Tống Duy Tân, phường Bắc Sơn, thành phố Sầm Sơn, tỉnh Thanh Hóa",THANH HÓA,MD NORTH
H01666,BỆNH VIỆN 71 TRUNG ƯƠNG,"Xã Quảng Tâm, thành phố Thanh Hóa, tỉnh Thanh Hóa",THANH HÓA,MD NORTH
H01673,BỆNH VIỆN ĐA KHOA HUYỆN QUẢNG XƯƠNG,"Xã Quảng Phong, huyện Quảng Xương, tỉnh Thanh Hoá",THANH HÓA,MD NORTH
H01674,BỆNH VIỆN ĐA KHOA KHU VỰC TĨNH GIA ,"Phường Hải Hòa, thị xã Nghi Sơn, tỉnh Thanh Hóa",THANH HÓA,MD NORTH
H01675,BỆNH VIỆN ĐA KHOA HUYỆN THƯỜNG XUÂN ," Khu 2 thị trấn Thường Xuân, huyện Thường Xuân, tỉnh Thanh Hoá",THANH HÓA,MD NORTH
H01682,BỆNH VIỆN ĐA KHOA TỈNH THANH HÓA," 181 Hải Thượng Lãn Ông, phường Đông Vệ, thành phố Thanh Hóa",THANH HÓA,MD NORTH
H01689,BỆNH VIỆN NỘI TIẾT TỈNH THANH HÓA,"476 Hải Thượng Lãn Ông, phường Quảng Thắng, thành phố Thanh Hóa",THANH HÓA,MD NORTH
H01724,BỆNH VIỆN QUỐC TẾ TRUNG ƯƠNG HUẾ ,"03 Ngô Quyền, thành phố Huế, tỉnh Thừa Thiên Huế",THỪA THIÊN–HUẾ,MD CENTRAL
H01733,TRUNG TÂM Y TẾ THỊ XÃ HƯƠNG TRÀ,"Khu vực 6, phường Tứ Hạ, Thị xã Hương Trà, tỉnh Thừa Thiên Huế",THỪA THIÊN–HUẾ,MD CENTRAL
H01736,TRUNG TÂM Y TẾ HUYỆN PHÚ LỘC,"Khu vực 4, thị trấn Phú Lộc, huyện Phú Lộc, tỉnh Thừa Thiên Huế",THỪA THIÊN–HUẾ,MD CENTRAL
H01737,TRUNG TÂM Y TẾ HUYỆN PHÚ VANG,"Thị trấn Phú Đa, huyện Phú Vang, tỉnh Thừa Thiên Huế",THỪA THIÊN–HUẾ,MD CENTRAL
H01779,BỆNH VIỆN ĐA KHOA HOÀN MỸ SÀI GÒN,"60-60A Phan Xích Long, phường 1, quận Phú Nhuận",HỒ CHÍ MINH,MD SOUTH
H01825,BỆNH VIỆN ĐA KHOA XUYÊN Á,"42 quốc lộ 22, ấp Chợ, xã Tân Phú Trung, huyện Củ Chi",HỒ CHÍ MINH,MD SOUTH
H01858,BỆNH VIỆN NHI ĐỒNG THÀNH PHỐ HỒ CHÍ MINH,"15 Võ Trần Chí, Tân Kiên, Bình Chánh",HỒ CHÍ MINH,MD SOUTH
H01861,BỆNH VIỆN PHỤ SẢN MÊ KÔNG,"243 Đ. Hoàng Văn Thụ, phường 1, quận Tân Bình",HỒ CHÍ MINH,MD SOUTH
